Title,Count
"Cao, J.","302"
"Xu, Z.","302"
"Pedrycz, W.","289"
"Guo, S.","282"
"Tao, D.","263"
"Kreinovich, V.","260"
"Castillo, O.","257"
"Li, X.","250"
"Huang, T.","249"
"Zhang, H.","244"
"Fujita, H.","241"
"Siegwart, R.","229"
"Mesiar, R.","226"
"Rus, D.","222"
"Herrera, F.","219"
"Caldwell, D.G.","214"
"Dadios, E.P.","204"
"Wang, F.Y.","198"
"Nie, F.","193"
"Singh, B.","191"
"Nahavandi, S.","189"
"Abraham, A.","186"
"Yang, J.","185"
"Bustince, H.","182"
"Melin, P.","182"
"Jiao, L.","176"
"Huang, Q.","175"
"Shi, P.","174"
"Ishiguro, H.","169"
"Gao, X.","168"
"Stone, P.","168"
"Tambe, M.","167"
"Li, T.","163"
"Peters, J.","162"
"Hassanien, A.E.","159"
"Kubota, N.","157"
"Wu, M.","157"
"Chen, S.M.","154"
"Inaba, M.","154"
"Zhang, M.","151"
"Sriboonchitta, S.","149"
"Burgard, W.","148"
"Zhang, Y.","146"
"Zeng, Z.","145"
"Alimi, A.M.","144"
"Okada, K.","144"
"Yager, R.R.","144"
"Barolli, L.","142"
"Shao, L.","142"
"Bicchi, A.","141"
"Herrera-Viedma, E.","141"
"Kosheleva, O.","140"
"Liu, P.","139"
"Jin, Y.","138"
"Lin, C.T.","138"
"Lu, J.","138"
"Meng, M.Q.H.","137"
"Takanishi, A.","137"
"Hirota, K.","136"
"Knoll, A.","136"
"Wermter, S.","134"
"Tong, S.","133"
"Chen, C.L.P.","132"
"Tsagarakis, N.G.","131"
"Cambria, E.","130"
"Ishibuchi, H.","130"
"Yu, P.S.","130"
"Pedrycz, W.","128"
"Konar, A.","127"
"Wu, X.","126"
"Hong, T.P.","125"
"Liu, D.","125"
"Silva, F.J.G.","125"
"Xhafa, F.","125"
"Zhou, Z.H.","124"
"Yang, G.H.","123"
"Zhang, G.","123"
"He, H.","121"
"Wu, X.","120"
"Bandala, A.A.","119"
"Bouguila, N.","119"
"Purnomo, M.H.","119"
"Miao, C.","118"
"Siciliano, B.","118"
"Tenenbaum, J.B.","118"
"Behnke, S.","117"
"Lam, H.K.","117"
"Veloso, M.","117"
"Jennings, N.R.","116"
"Wang, Z.","116"
"Gong, M.","115"
"Li, C.","115"
"Ollero, A.","115"
"Li, T.","114"
"Alsaadi, F.E.","113"
"Fukuda, T.","113"
"Valavanis, K.P.","113"
"An, B.","112"
"Suykens, J.A.K.","112"
"Togelius, J.","112"
"Griffiths, T.L.","111"
"Kraus, S.","111"
"Paiva, A.","111"
"Asfour, T.","110"
"Cao, L.","110"
"Kiyoki, Y.","110"
"Yao, X.","110"
"Cuevas, E.","109"
"Mirjalili, S.","109"
"Vaidyanathan, S.","109"
"Fu, Y.","108"
"Han, J.","107"
"Kumar, V.","107"
"Akram, M.","106"
"Choset, H.","106"
"Garg, H.","106"
"Saha, S.","106"
"Ding, S.","105"
"Valdez, F.","105"
"Guan, Y.","104"
"Liu, H.","104"
"Vale, Z.","104"
"Azar, A.T.","103"
"De Baets, B.","103"
"Khoshgoftaar, T.M.","103"
"Li, S.","103"
"Prattichizzo, D.","103"
"Sugano, S.","103"
"Yan, S.","103"
"Hammer, B.","102"
"Ito, T.","102"
"Scaramuzza, D.","102"
"Hu, Q.","101"
"Li, Y.","101"
"Ma, S.","101"
"Nedevschi, S.","101"
"Rudas, I.J.","101"
"Zhang, J.","101"
"Hagras, H.","100"
"Liao, H.","100"
"Lim, C.P.","100"
"Liu, H.","100"
"Liu, H.","100"
"Novais, P.","100"
"Sun, C.","100"
"Zhou, M.","100"
"Guo, J.","99"
"Chiclana, F.","98"
"Li, Z.","98"
"Liang, J.","98"
"Meybodi, M.R.","98"
"Pavone, M.","98"
"Tadokoro, S.","98"
"Hashimoto, S.","97"
"Li, Y.","97"
"Lin, J.C.W.","97"
"Wang, J.","97"
"Wang, S.","97"
"Ren, H.","96"


